p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cluster;gene
7,90E-03;0.262526107812543;0.453;0.279;2,03E+02;4;PTPN12
8,27E-03;0.263208469870187;0.299;0.157;2,13E+02;4;MOB3B
9,45E-03;0.250870983795456;0.364;0.211;2,43E+02;4;PARP12
1,39E-02;0.293049839998509;0.472;0.309;3,58E+02;4;ZNF106
1,56E-02;0.309819495407207;0.386;0.233;4,02E+02;4;SLC20A1
1,61E-02;0.275481161959264;0.602;0.42;4,14E+02;4;ADAR
1,71E-02;0.347407239832576;0.655;0.471;4,39E+02;4;JAZF1
1,74E-02;0.323427391894451;0.555;0.382;4,48E+02;4;FOXN2
2,01E-02;0.363164516298675;0.845;0.748;5,18E+02;4;TMEM131L
2,05E-02;0.269028311323104;0.424;0.26;5,26E+02;4;FKBP15
2,08E-02;0.277187131750384;0.403;0.242;5,34E+02;4;SYAP1
2,10E-02;0.2710111756758;0.432;0.268;5,39E+02;4;IDS
8,62E-02;0.313248875320321;0.515;0.351;2,22E+03;4;YPEL5
1,27E-01;0.254234056814089;0.521;0.35;3,28E+03;4;WWP2
1,36E-01;0.321427239563801;0.559;0.398;3,49E+03;4;PTPN2
1,39E-01;0.277388198758069;0.422;0.267;3,58E+03;4;KIAA0232
1,45E-01;0.313140450994511;0.722;0.557;3,74E+03;4;PHIP
1,47E-01;0.341271772964482;0.638;0.482;3,78E+03;4;RTN4
1,69E-01;0.268013017296421;0.644;0.477;4,34E+03;4;TRIP12
1,92E-01;0.287723801893958;0.333;0.192;4,94E+03;4;PIGX
2,13E-01;0.281537800848028;0.801;0.663;5,48E+03;4;VPS13C
2,58E-01;0.277918131350088;0.428;0.272;6,64E+03;4;POLK
2,95E-01;0.285943444924812;0.754;0.602;7,58E+03;4;ROCK1
3,30E-01;0.314671921172372;0.672;0.514;8,49E+03;4;SETX
4,48E-01;0.270418241811782;0.447;0.285;1,15E+04;4;TSC22D2
5,90E-01;0.266566863137815;0.422;0.267;1,52E+04;4;UBAP1
6,92E-01;0.394475390708256;0.896;0.809;1,78E+04;4;H3F3B
6,95E-01;0.266466547973656;0.405;0.254;1,79E+04;4;IFI6
7,07E-01;0.339783106775106;0.485;0.336;1,82E+04;4;ZFP36L1
8,16E-01;0.310099068638884;0.932;0.876;2,10E+03;4;FOXN3
8,49E-01;0.256164681461059;0.307;0.172;2,18E+04;4;MAP3K20
9,67E-01;0.280588155400277;0.521;0.364;2,49E+04;4;ATF6
9,89E-02;0.333447361753244;0.697;0.532;2,54E+04;4;MAP3K5
1,07E+00;0.334797638443149;0.824;0.681;2,76E+04;4;LPP
1,16E+00;0.283158167050116;0.475;0.315;2,98E+04;4;MOB3A
1,25E+00;0.331691818239973;0.737;0.598;3,20E+04;4;NR3C1
1,33E+00;0.319516578190694;0.648;0.501;3,41E+04;4;UBE2D3
1,51E+00;0.279636866216138;0.699;0.551;3,88E+04;4;TRA2B
1,82E+00;0.519979580345313;0.604;0.482;4,68E+04;4;TUBA1A
2,54E+00;0.290085705370148;0.85;0.73;6,53E+04;4;KMT2C
2,95E+00;0.275241925737442;0.513;0.358;7,60E+04;4;HOOK3
2,99E+00;0.278893800720506;0.487;0.329;7,68E+03;4;KDM4B
3,18E+00;0.294790040188445;0.568;0.407;8,17E+04;4;IER2
3,85E+00;0.250310167207261;0.339;0.203;9,90E+03;4;SCPEP1
4,11E+00;0.308906626987075;0.763;0.624;1,06E+05;4;PIK3R5
5,28E+00;0.284928918501124;0.456;0.305;1,36E+05;4;LRRC8D
5,51E+00;0.260412374117425;0.646;0.486;1,42E+05;4;RAB2A
7,02E+00;0.268892821767903;0.604;0.436;1,81E+05;4;TBC1D1
8,06E+00;0.269993189768585;0.396;0.253;2,07E+05;4;BMPR2
9,04E+00;0.253105269432214;0.481;0.321;2,33E+05;4;SLC38A2
9,44E+00;0.273163335857323;0.578;0.419;2,43E+05;4;GSK3B
9,85E+00;0.271210268223343;0.523;0.345;2,53E+05;4;FRY
1,05E+01;0.267122534168707;0.561;0.402;2,69E+04;4;UBE2R2
1,10E+01;0.293304977302077;0.809;0.696;2,83E+05;4;TBC1D5
1,46E+01;0.262877468250088;0.767;0.612;3,76E+05;4;KDM6A
1,74E+01;0.256695911529179;0.716;0.559;4,46E+05;4;AP3B1
1,87E+01;0.266097126377202;0.396;0.253;4,80E+05;4;C20orf194
1,99E+01;0.261907913592697;0.462;0.311;5,11E+05;4;NF1
2,56E+01;0.267006699076863;0.424;0.285;6,57E+05;4;BNIP2
2,62E-01;0.365378789029647;0.538;0.399;6,73E+04;4;ATP1A1
5,60E+01;0.274749023255566;0.311;0.185;1,44E+06;4;RTCB
5,79E-01;0.256283121077073;0.517;0.363;1,49E+06;4;PPP2R2A
